record_id_1,record_id_2,similarity_score
17435,25555,0.85
17435,30082,0.85
25555,30082,0.85
8626,12119,0.85
8626,25217,0.85
12119,25217,0.85
8317,25909,0.85
460,18403,0.85
178,7389,0.85
178,29937,0.85
7025,20391,0.85
7389,29937,0.85
9113,32892,0.85
4499,28749,0.85
16977,25661,0.85
23241,25457,0.85
13637,21587,0.85
13637,22290,0.85
21587,22290,0.85
11207,16053,0.85
11207,32797,0.85
16053,32797,0.85
617,3529,0.85
617,21666,0.85
3529,21666,0.85
6842,20039,0.85
25391,29623,0.85
29641,31206,0.85
6676,21091,0.85
6854,31680,0.85
9420,24524,0.85
2287,15826,0.85
2287,26714,0.85
15826,26714,0.85
6594,7271,0.85
18546,31986,0.85
27929,29056,0.85
12751,18774,0.85
12751,29916,0.85
18774,29916,0.85
89,23809,0.85
11955,13014,0.85
11955,15966,0.85
13014,15966,0.85
17676,27217,0.85
17676,27371,0.85
27217,27371,0.85
1223,20179,0.85
1706,27980,0.85
16627,20295,0.85
16627,29157,0.85
18398,21975,0.85
18398,27966,0.85
20295,29157,0.85
21975,27966,0.85
3030,4711,0.85
5528,32021,0.85
5920,7628,0.85
5920,32987,0.85
7628,32987,0.85
2550,17450,0.85
2550,24016,0.85
17450,24016,0.85
69,11839,0.85
69,15666,0.85
69,18078,0.85
11839,15666,0.85
11839,18078,0.85
15666,18078,0.85
5800,12830,0.85
18016,28156,0.85
3027,3288,0.85
3027,15292,0.85
3288,15292,0.85
13838,25528,0.85
2926,17448,0.85
11879,28406,0.85
8966,13352,0.85
8966,15929,0.85
13352,15929,0.85
1437,13568,0.85
1437,28330,0.85
13568,28330,0.85
5084,33029,0.85
4261,30480,0.85
8301,15270,0.85
8301,25241,0.85
15270,25241,0.85
4975,19803,0.85
4975,23733,0.85
19803,23733,0.85
6246,16724,0.85
16543,29100,0.85
4204,4411,0.85
1189,23216,0.85
869,8092,0.85
13891,21328,0.85
13304,16104,0.85
9272,24917,0.85
4748,12945,0.85
4748,19857,0.85
12945,19857,0.85
6784,17856,0.85
6784,20668,0.85
17856,20668,0.85
2773,20851,0.85
8283,26157,0.85
21327,22632,0.85
21327,28618,0.85
22632,28618,0.85
3337,5971,0.85
3337,27687,0.85
5971,27687,0.85
14042,20105,0.85
14042,26441,0.85
20105,26441,0.85
4906,13554,0.85
4906,24240,0.85
8547,10559,0.85
13554,24240,0.85
3146,19967,0.85
2440,23341,0.85
2487,10557,0.85
2487,28331,0.85
10557,28331,0.85
17428,22721,0.85
17428,24417,0.85
22721,24417,0.85
20132,21868,0.85
20132,31739,0.85
21868,31739,0.85
9796,18386,0.85
9796,19766,0.85
10653,31883,0.85
18386,19766,0.85
24247,29456,0.85
6263,12495,0.85
6263,16554,0.85
12495,16554,0.85
2265,10634,0.85
2265,17390,0.85
3904,12790,0.85
3904,17891,0.85
6924,33034,0.85
10142,18994,0.85
10142,24418,0.85
10142,27232,0.85
10634,17390,0.85
12790,17891,0.85
18994,24418,0.85
18994,27232,0.85
24418,27232,0.85
9870,9968,0.85
9870,22864,0.85
9968,22864,0.85
7782,16558,0.85
7782,30039,0.85
11672,15481,0.85
11672,16916,0.85
11776,22165,0.85
11776,28183,0.85
15481,16916,0.85
16121,22687,0.85
16558,30039,0.85
21718,27169,0.85
22165,28183,0.85
23495,27914,0.85
1968,4618,0.85
717,19102,0.85
717,24200,0.85
717,28306,0.85
19102,24200,0.85
19102,28306,0.85
19439,26093,0.85
24200,28306,0.85
20284,20703,0.85
20284,32967,0.85
20703,32967,0.85
3786,16203,0.85
8330,31311,0.85
10760,26334,0.85
10760,27676,0.85
26334,27676,0.85
1718,9246,0.85
1718,9878,0.85
3247,10339,0.85
3247,20114,0.85
3247,21795,0.85
9246,9878,0.85
10339,20114,0.85
10339,21795,0.85
10803,29114,0.85
20114,21795,0.85
22295,29333,0.85
5699,27405,0.85
5566,13706,0.85
7198,11107,0.85
7216,21586,0.85
7216,33292,0.85
21586,33292,0.85
17994,25005,0.85
17994,27595,0.85
25005,27595,0.85
9437,10556,0.85
4287,12190,0.85
4287,28865,0.85
10121,25943,0.85
12190,28865,0.85
67,9799,0.85
67,15748,0.85
9799,15748,0.85
14490,25649,0.85
4787,7981,0.85
4787,15793,0.85
7981,15793,0.85
27269,31174,0.85
20131,29368,0.85
10024,20381,0.85
10024,30930,0.85
20381,30930,0.85
6961,31962,0.85
6337,13644,0.85
6337,32968,0.85
6337,33164,0.85
13644,32968,0.85
13644,33164,0.85
32968,33164,0.85
10824,13736,0.85
10824,18295,0.85
10824,32911,0.85
13736,18295,0.85
13736,32911,0.85
18295,32911,0.85
13521,17595,0.85
11724,12078,0.85
11724,31303,0.85
12078,31303,0.85
1023,5239,0.85
1023,16235,0.85
5239,16235,0.85
2310,8600,0.85
652,4460,0.85
652,9220,0.85
4460,9220,0.85
956,22124,0.85
956,23336,0.85
956,24229,0.85
3373,3476,0.85
6389,9860,0.85
6389,28157,0.85
9860,28157,0.85
10521,26762,0.85
21105,23933,0.85
22124,23336,0.85
22124,24229,0.85
23336,24229,0.85
184,29290,0.85
2839,16794,0.85
14447,16186,0.85
14447,22117,0.85
16186,22117,0.85
15096,25607,0.85
6520,14981,0.85
7440,26740,0.85
336,14679,0.85
336,28508,0.85
14679,28508,0.85
10992,31915,0.85
2780,9754,0.85
5942,22212,0.85
5942,31646,0.85
22212,31646,0.85
3358,10623,0.85
3358,25362,0.85
